longitude,latitude,population_range,ocean_proximity
-118.39,34.12,2000-4000,<1H OCEAN
-120.42,34.89,0-2000,<1H OCEAN
-118.45,34.25,0-2000,<1H OCEAN
-118.1,33.91,0-2000,<1H OCEAN
-117.07,32.77,0-2000,NEAR OCEAN
-118.04,33.93,0-2000,<1H OCEAN
-122.27,37.83,0-2000,NEAR BAY
-122.26,37.46,0-2000,NEAR OCEAN
-122.03,37.36,0-2000,<1H OCEAN
-117.61,33.43,0-2000,NEAR OCEAN
-118.32,34.06,0-2000,<1H OCEAN
-121.23,37.96,0-2000,INLAND
-121.2,37.81,0-2000,INLAND
-121.91,37.24,2000-4000,<1H OCEAN
-118.48,34.28,0-2000,<1H OCEAN
-117.65,34.1,0-2000,INLAND
-121.59,39.82,0-2000,INLAND
-118.97,35.41,0-2000,INLAND
-118.06,33.88,2000-4000,<1H OCEAN
-118.39,33.85,0-2000,<1H OCEAN
-117.98,33.73,2000-4000,<1H OCEAN
-118.32,33.79,0-2000,<1H OCEAN
-120.27,34.72,0-2000,<1H OCEAN
-119.65,36.33,0-2000,INLAND
-119.86,36.82,0-2000,INLAND
-119.23,35.78,0-2000,INLAND
-118.35,34.16,0-2000,<1H OCEAN
-120.94,37.68,6000-8000,INLAND
-118.99,35.24,0-2000,INLAND
-121.11,37.47,0-2000,INLAND
-118.02,34.08,2000-4000,INLAND
-120.17,39.33,0-2000,INLAND
-118.35,34.02,2000-4000,<1H OCEAN
-123.34,39.5,0-2000,INLAND
-122.24,40.18,0-2000,INLAND
-122.03,37.36,0-2000,<1H OCEAN
-117.09,32.58,0-2000,NEAR OCEAN
-118.33,34.18,0-2000,<1H OCEAN
-121.44,38.53,0-2000,INLAND
-119.7,34.43,0-2000,<1H OCEAN
-117.15,34.22,0-2000,INLAND
-118.37,33.87,0-2000,<1H OCEAN
-118.01,33.85,2000-4000,<1H OCEAN
-122.32,37.94,0-2000,NEAR BAY
-117.96,33.94,0-2000,<1H OCEAN
-117.96,34.14,0-2000,INLAND
-117.55,34,0-2000,INLAND
-122.28,37.86,0-2000,NEAR BAY
-117.43,34.07,0-2000,INLAND
-117.21,33.34,2000-4000,<1H OCEAN
-120.68,37.47,0-2000,INLAND
-122.83,38.96,0-2000,INLAND
-122.22,37.37,0-2000,NEAR OCEAN
-116.87,32.75,0-2000,<1H OCEAN
-118.39,33.79,0-2000,NEAR OCEAN
-117.13,32.74,0-2000,NEAR OCEAN
-122.45,37.74,2000-4000,NEAR BAY
-122.47,38.29,0-2000,NEAR BAY
-122.54,37.95,0-2000,NEAR BAY
-123.1,38.79,0-2000,<1H OCEAN
-117.07,32.56,2000-4000,NEAR OCEAN
-118.43,34.08,0-2000,<1H OCEAN
-122.05,36.97,0-2000,NEAR OCEAN
-122.25,37.49,0-2000,NEAR OCEAN
-117.87,34.14,0-2000,INLAND
-118.2,34.05,2000-4000,<1H OCEAN
-121.32,37.94,0-2000,INLAND
-120.96,38.66,0-2000,INLAND
-120.43,34.96,0-2000,<1H OCEAN
-122.28,37.9,0-2000,NEAR BAY
-122,37.08,2000-4000,NEAR OCEAN
-118.34,33.87,0-2000,<1H OCEAN
-118.52,34.21,0-2000,<1H OCEAN
-118.22,34.09,0-2000,<1H OCEAN
-118.27,34.1,0-2000,<1H OCEAN
-117.58,34.02,2000-4000,INLAND
-118.22,34.08,0-2000,<1H OCEAN
-121.78,36.93,2000-4000,<1H OCEAN
-117.36,33.18,0-2000,NEAR OCEAN
-119.01,35.36,0-2000,INLAND
-117.81,34.11,0-2000,INLAND
-118.1,34.02,0-2000,<1H OCEAN
-117.03,32.96,0-2000,<1H OCEAN
-122.23,39.75,0-2000,INLAND
-121.96,37.1,0-2000,<1H OCEAN
-121.06,39.04,0-2000,INLAND
-118.1,34.09,0-2000,<1H OCEAN
-118.32,33.95,0-2000,<1H OCEAN
-122.21,37.44,0-2000,NEAR OCEAN
-118.19,34.1,0-2000,<1H OCEAN
-122.38,40.09,0-2000,INLAND
-117.3,33.06,0-2000,NEAR OCEAN
-122.13,37.71,0-2000,NEAR BAY
-118.29,33.98,0-2000,<1H OCEAN
-121.53,39.52,0-2000,INLAND
-120.47,34.65,0-2000,NEAR OCEAN
-118.3,34,0-2000,<1H OCEAN
-118.22,33.8,0-2000,NEAR OCEAN
-118.27,33.97,2000-4000,<1H OCEAN
-118.34,34.06,0-2000,<1H OCEAN
-119.21,34.18,2000-4000,NEAR OCEAN
-117.83,33.81,2000-4000,<1H OCEAN
-118.85,34.18,2000-4000,<1H OCEAN
-118.37,36.19,0-2000,INLAND
-121.85,37.39,4000-6000,<1H OCEAN
-118.37,33.85,2000-4000,<1H OCEAN
-118.96,35.37,0-2000,INLAND
-120.64,35.65,2000-4000,<1H OCEAN
-118.41,34.19,0-2000,<1H OCEAN
-122.53,37.95,2000-4000,NEAR BAY
-117.33,34.15,0-2000,INLAND
-117.23,33.57,4000-6000,<1H OCEAN
-120.44,37.28,0-2000,INLAND
-117.2,33.7,0-2000,<1H OCEAN
-121.34,38.64,0-2000,INLAND
-117.28,34.12,2000-4000,INLAND
-119.48,36.5,0-2000,INLAND
-122.04,37.04,0-2000,NEAR OCEAN
-118.45,34.03,0-2000,<1H OCEAN
-117.47,33.92,2000-4000,INLAND
-121.94,37.75,2000-4000,<1H OCEAN
-117.28,34.51,2000-4000,INLAND
-120.95,35.44,0-2000,NEAR OCEAN
-117.9,33.97,4000-6000,<1H OCEAN
-120.77,38.38,0-2000,INLAND
-116.93,32.8,0-2000,<1H OCEAN
-118.13,33.81,0-2000,<1H OCEAN
-117.4,33.95,0-2000,INLAND
-122.07,37.96,0-2000,NEAR BAY
-123.71,39.88,0-2000,NEAR OCEAN
-122.72,38.58,2000-4000,<1H OCEAN
-117.77,33.72,0-2000,<1H OCEAN
-117.93,34.07,0-2000,<1H OCEAN
-118.41,34.07,0-2000,<1H OCEAN
-120.07,36.97,0-2000,INLAND
-119.27,36.05,0-2000,INLAND
-120.82,37.05,0-2000,INLAND
-121.43,38.54,0-2000,INLAND
-120.44,34.96,0-2000,<1H OCEAN
-120.35,37.95,0-2000,INLAND
-118.17,33.95,0-2000,<1H OCEAN
-121.57,39.5,0-2000,INLAND
-117.82,33.88,0-2000,<1H OCEAN
-121.9,37.44,0-2000,<1H OCEAN
-121.45,38.54,0-2000,INLAND
-119.81,36.83,2000-4000,INLAND
-118.36,33.8,0-2000,NEAR OCEAN
-117.68,33.59,0-2000,<1H OCEAN
-118.04,33.88,2000-4000,<1H OCEAN
-118.43,34.01,0-2000,<1H OCEAN
-122.71,38.5,2000-4000,<1H OCEAN
-121.83,36.6,0-2000,<1H OCEAN
-120.82,35.31,0-2000,NEAR OCEAN
-120.06,36.95,0-2000,INLAND
-122.14,37.68,0-2000,NEAR BAY
-116.46,33.78,0-2000,INLAND
-121.09,38.19,0-2000,INLAND
-121.32,38.57,0-2000,INLAND
-120.99,37.66,0-2000,INLAND
-122.22,37.79,0-2000,NEAR BAY
-122.47,37.78,0-2000,NEAR BAY
-117.91,33.61,0-2000,<1H OCEAN
-121.53,39.06,0-2000,INLAND
-117.04,32.83,0-2000,<1H OCEAN
-118.13,34.11,0-2000,<1H OCEAN
-122.32,38.06,2000-4000,NEAR BAY
-121.73,37.68,8000-10000,INLAND
-118.98,35.4,0-2000,INLAND
-121.9,37.25,0-2000,<1H OCEAN
-121.3,38.69,0-2000,INLAND
-115.64,32.75,0-2000,INLAND
-117.89,33.76,0-2000,<1H OCEAN
-118.36,33.92,0-2000,<1H OCEAN
-117.06,32.58,2000-4000,NEAR OCEAN
-115.49,32.67,2000-4000,INLAND
-117.31,34.09,0-2000,INLAND
-121.03,39.21,0-2000,INLAND
-117.05,32.72,0-2000,NEAR OCEAN
-117.95,33.92,0-2000,<1H OCEAN
-119.01,35.31,4000-6000,INLAND
-119.17,34.27,2000-4000,NEAR OCEAN
-118.07,34.14,0-2000,INLAND
-122.23,38.1,2000-4000,NEAR BAY
-117.75,34.06,0-2000,INLAND
-118.27,33.81,0-2000,<1H OCEAN
-121.32,38,0-2000,INLAND
-118.99,36.06,0-2000,INLAND
-122.37,40.54,0-2000,INLAND
-120.39,37.98,0-2000,INLAND
-118.33,34.11,0-2000,<1H OCEAN
-118.08,33.89,0-2000,<1H OCEAN
-117.25,33.36,2000-4000,<1H OCEAN
-119.15,36.29,0-2000,INLAND
-117.63,33.94,2000-4000,INLAND
-118.55,34.19,2000-4000,<1H OCEAN
-117.89,33.71,0-2000,<1H OCEAN
-117.69,33.66,0-2000,<1H OCEAN
-118.35,33.88,0-2000,<1H OCEAN
-118.09,34.16,0-2000,INLAND
-121.05,39.11,0-2000,INLAND
-118.21,34.1,0-2000,<1H OCEAN
-119.04,36.07,0-2000,INLAND
-117.3,34.15,0-2000,INLAND
-117.75,34.06,0-2000,INLAND
-114.61,33.62,0-2000,INLAND
-117.61,34.13,4000-6000,INLAND
-118.11,34.05,0-2000,<1H OCEAN
-118.95,35.26,0-2000,INLAND
-118.35,33.9,2000-4000,<1H OCEAN
-122.89,38.93,0-2000,<1H OCEAN
-121.89,36.6,0-2000,<1H OCEAN
-118.31,34.26,0-2000,<1H OCEAN
-122.01,37.25,0-2000,<1H OCEAN
-118.37,34.04,0-2000,<1H OCEAN
-117.19,32.76,0-2000,NEAR OCEAN
-119.71,36.8,0-2000,INLAND
-117.28,34.68,0-2000,INLAND
-120.84,35.32,0-2000,NEAR OCEAN
-118.13,34.02,0-2000,<1H OCEAN
-117.02,33.6,0-2000,INLAND
