longitude,latitude,population,median_income,ocean_proximity
-118.39,34.12,2184,8.2816,<1H OCEAN
-120.42,34.89,855,5.0099,<1H OCEAN
-118.45,34.25,808,4.3839,<1H OCEAN
-118.1,33.91,1072,3.2708,<1H OCEAN
-117.07,32.77,1495,4.3529,NEAR OCEAN
-118.04,33.93,1505,4.1667,<1H OCEAN
-122.27,37.83,754,1.375,NEAR BAY
-122.26,37.46,1996,7.0001,NEAR OCEAN
-122.03,37.36,1369,4.4699,<1H OCEAN
-117.61,33.43,851,3.9875,NEAR OCEAN
-118.32,34.06,1383,4.5918,<1H OCEAN
-121.23,37.96,1277,1.5539,INLAND
-121.2,37.81,193,7.3718,INLAND
-121.91,37.24,2449,4.7118,<1H OCEAN
-118.48,34.28,1128,5.3107,<1H OCEAN
-117.65,34.1,831,3.0284,INLAND
-121.59,39.82,875,2.3507,INLAND
-118.97,35.41,937,3.996,INLAND
-118.06,33.88,3844,6.5901,<1H OCEAN
-118.39,33.85,1830,5.7128,<1H OCEAN
-117.98,33.73,2192,3.4679,<1H OCEAN
-118.32,33.79,1675,3.8287,<1H OCEAN
-120.27,34.72,693,3.2569,<1H OCEAN
-119.65,36.33,624,2.3523,INLAND
-119.86,36.82,675,4.7622,INLAND
-119.23,35.78,1230,2.1806,INLAND
-118.35,34.16,538,4.2212,<1H OCEAN
-120.94,37.68,6420,4.2471,INLAND
-118.99,35.24,213,2.35,INLAND
-121.11,37.47,913,3.5795,INLAND
-118.02,34.08,2452,2.6071,INLAND
-120.17,39.33,195,0.9283,INLAND
-118.35,34.02,2725,1.7622,<1H OCEAN
-123.34,39.5,1064,1.8967,INLAND
-122.24,40.18,1307,1.6483,INLAND
-122.03,37.36,948,6.4913,<1H OCEAN
-117.09,32.58,1785,3.0273,NEAR OCEAN
-118.33,34.18,785,3.7411,<1H OCEAN
-121.44,38.53,1089,2.3272,INLAND
-119.7,34.43,654,2.6205,<1H OCEAN
-117.15,34.22,317,7.2371,INLAND
-118.37,33.87,1128,5.0114,<1H OCEAN
-118.01,33.85,2396,4.6326,<1H OCEAN
-122.32,37.94,697,6.2712,NEAR BAY
-117.96,33.94,1159,4.8906,<1H OCEAN
-117.96,34.14,993,3.766,INLAND
-117.55,34,1587,2.6979,INLAND
-122.28,37.86,1213,2.2845,NEAR BAY
-117.43,34.07,1503,2.3768,INLAND
