longitude,latitude,population,median_income,ocean_proximity,land_value
-121.46,38.52,2237.0,2.1736,INLAND,89404.0
-117.23,33.09,2015.0,6.3373,NEAR OCEAN,346704.0
-119.04,35.37,667.0,2.875,INLAND,102548.0
-117.13,32.75,898.0,2.2264,NEAR OCEAN,139500.0
-118.7,34.28,1837.0,4.4964,<1H OCEAN,295492.0
-122.04,37.96,724.0,3.6964,NEAR BAY,205468.0
-122.03,37.33,1782.0,7.4863,<1H OCEAN,511252.0
-118.31,34.2,778.0,5.0865,<1H OCEAN,433504.0
-121.95,37.27,408.0,1.7171,<1H OCEAN,224812.0
-118.28,34.02,2690.0,0.4999,<1H OCEAN,620001.24
-121.54,39.08,724.0,2.3598,INLAND,71300.0
-117.99,33.69,1441.0,1.6705,<1H OCEAN,434000.0
-116.39,33.69,2186.0,6.9833,INLAND,296112.0
-119.83,36.78,1660.0,2.8359,INLAND,99572.0
-117.22,32.83,1164.0,3.4318,NEAR OCEAN,248496.0
-121.88,37.37,3258.0,3.5745,<1H OCEAN,413788.0
-118.08,33.93,1127.0,3.525,<1H OCEAN,195920.0
-117.91,33.65,762.0,2.2222,<1H OCEAN,343232.0
-122.53,37.9,1232.0,3.8839,NEAR BAY,405728.0
-117.86,33.79,483.0,4.105,<1H OCEAN,241180.0
-117.26,34.48,1851.0,4.1933,INLAND,202244.0
-122.28,37.91,685.0,7.3089,NEAR BAY,410688.0
-121.23,38.79,463.0,2.2292,INLAND,114080.0
-117.94,34.1,929.0,3.3625,<1H OCEAN,190216.0
-120.96,39.12,909.0,2.5326,INLAND,172484.0
-117.35,33.98,3928.0,1.6943,INLAND,106516.0
-119.03,34.24,1776.0,5.687,<1H OCEAN,295244.0
-117.0,32.77,776.0,2.8125,<1H OCEAN,215140.0
-120.84,35.31,1515.0,2.8493,NEAR OCEAN,243164.0
-118.33,34.08,1345.0,3.2426,<1H OCEAN,549196.0
-118.05,33.81,1377.0,5.2542,<1H OCEAN,290904.0
-117.94,34.08,1669.0,4.4653,<1H OCEAN,242296.0
-118.8,34.27,1577.0,4.6985,<1H OCEAN,327484.0
-122.0,37.27,759.0,5.7876,<1H OCEAN,515592.0
-121.89,37.3,961.0,5.3955,<1H OCEAN,350052.0
-117.22,32.74,555.0,7.2758,NEAR OCEAN,428048.0
-121.49,38.59,486.0,1.0313,INLAND,105400.0
-118.39,34.02,1312.0,3.5909,<1H OCEAN,346456.0
-119.56,36.53,1670.0,3.2019,INLAND,118668.0
-118.02,34.09,1199.0,3.4286,INLAND,237832.0
-118.59,34.21,1560.0,4.8333,<1H OCEAN,279496.0
-116.8,33.52,272.0,3.8281,INLAND,202740.0
-118.19,33.85,773.0,3.2798,NEAR OCEAN,186372.0
-117.18,32.8,1605.0,5.5454,NEAR OCEAN,269204.0
-117.86,33.71,208.0,3.375,<1H OCEAN,195300.0
-118.08,33.97,789.0,4.2,<1H OCEAN,202368.0
-117.36,34.0,2769.0,3.3622,INLAND,130324.0
-121.78,37.97,7653.0,5.5601,INLAND,264988.0
-121.27,38.13,1197.0,2.1771,INLAND,121768.0
-118.67,34.28,2133.0,5.6949,<1H OCEAN,291772.0
-121.83,37.37,800.0,3.2279,<1H OCEAN,226176.0
-122.53,37.92,608.0,3.875,NEAR BAY,484592.0
-117.91,33.73,2867.0,4.7639,<1H OCEAN,223076.0
-119.79,36.75,3530.0,1.123,INLAND,57908.0
-117.9,33.64,1081.0,3.9375,<1H OCEAN,421352.0
-121.01,37.66,1366.0,4.5,INLAND,187736.0
-122.38,40.61,2101.0,1.7227,INLAND,130200.0
-122.17,37.73,620.0,3.7159,NEAR BAY,227292.0
-117.27,34.39,3660.0,4.2224,INLAND,155868.0
-117.06,32.57,991.0,3.0284,NEAR OCEAN,153264.0
-117.9,34.07,466.0,5.8519,<1H OCEAN,309256.0
-120.48,35.05,1549.0,2.8203,<1H OCEAN,189224.0
-121.17,38.71,1040.0,2.5183,INLAND,363692.0
-117.17,32.73,313.0,1.815,NEAR OCEAN,144708.0
-120.67,37.97,2233.0,2.6528,INLAND,164920.0
-122.31,37.93,696.0,3.5089,NEAR BAY,324756.0
-118.08,33.77,971.0,2.1944,<1H OCEAN,108500.0
-117.08,32.74,1784.0,3.5078,NEAR OCEAN,156860.0
-120.65,35.41,3139.0,4.1875,<1H OCEAN,324384.0
-118.14,33.9,1150.0,3.5972,<1H OCEAN,279992.0
-122.62,38.25,1187.0,4.6534,<1H OCEAN,243660.0
-121.46,38.58,689.0,1.7765,INLAND,136152.0
-120.97,37.69,2819.0,3.8598,INLAND,216256.0
-118.09,33.84,1061.0,4.7917,<1H OCEAN,269948.0
-118.48,34.31,892.0,3.0,<1H OCEAN,213776.0
-118.68,34.33,67.0,2.9821,<1H OCEAN,403000.0
-119.79,36.81,494.0,4.25,INLAND,163928.0
-117.95,34.06,1370.0,4.6312,<1H OCEAN,229152.0
-118.42,34.24,2243.0,2.525,<1H OCEAN,202988.0
-118.36,33.97,2917.0,2.6823,<1H OCEAN,176700.0
-119.04,35.32,34.0,1.2,INLAND,62000.0
-118.02,34.15,980.0,3.6,INLAND,381176.0
-117.21,33.2,1288.0,5.04,<1H OCEAN,314588.0
-118.39,33.87,1329.0,7.521,<1H OCEAN,422096.0
-119.79,36.31,2414.0,2.2937,INLAND,89652.0
-118.17,34.05,2990.0,3.1528,<1H OCEAN,151032.0
-122.08,37.88,825.0,2.933,NEAR BAY,105400.0
-118.22,33.98,1496.0,2.1044,<1H OCEAN,183768.0
-120.72,38.57,427.0,2.6833,INLAND,147312.0
-121.66,37.93,1064.0,4.7426,INLAND,326244.0
-118.42,34.01,960.0,3.6611,<1H OCEAN,426808.0
-117.78,33.68,1027.0,6.115,<1H OCEAN,391344.0
-118.42,34.32,1970.0,4.3409,<1H OCEAN,193440.0
-117.09,32.66,423.0,3.375,NEAR OCEAN,169012.0
-122.28,37.9,779.0,7.1754,NEAR BAY,449996.0
-117.65,34.06,1479.0,2.25,INLAND,112220.0
-121.98,37.35,546.0,4.5625,<1H OCEAN,297600.0
-117.27,32.82,1175.0,4.5083,NEAR OCEAN,502448.0
-119.19,34.17,3295.0,4.2583,NEAR OCEAN,232252.0
-117.11,32.78,930.0,3.6528,NEAR OCEAN,165168.0
-122.11,38.01,575.0,3.1711,NEAR BAY,143964.0
-118.17,33.91,748.0,3.8,<1H OCEAN,180792.0
-118.16,34.71,2680.0,4.1719,INLAND,145328.0
-122.26,37.87,3337.0,1.4012,NEAR BAY,217000.0
-117.26,32.98,1690.0,4.125,NEAR OCEAN,281356.0
-117.93,34.04,4580.0,4.9342,<1H OCEAN,224440.0
-122.19,37.77,1144.0,3.5114,NEAR BAY,187488.0
-122.06,37.63,3388.0,3.8625,NEAR BAY,259036.0
-118.3,33.73,1304.0,3.5694,NEAR OCEAN,342736.0
-118.28,34.05,1805.0,1.4801,<1H OCEAN,263500.0
-117.77,33.69,261.0,5.0631,<1H OCEAN,190960.0
-117.14,32.76,965.0,2.0792,NEAR OCEAN,198400.0
-118.61,34.31,868.0,5.0151,<1H OCEAN,353648.0
-118.29,34.01,511.0,2.3942,<1H OCEAN,152768.0
-122.36,38.03,981.0,4.3173,NEAR BAY,217496.0
-122.61,38.09,2311.0,6.9081,<1H OCEAN,457188.0
-117.22,32.75,2654.0,4.5878,NEAR OCEAN,360840.0
-117.88,33.84,918.0,3.9286,<1H OCEAN,325748.0
-117.34,33.71,1255.0,3.1513,<1H OCEAN,191332.0
-122.09,37.65,572.0,4.7143,NEAR BAY,240312.0
-121.93,37.25,639.0,4.5333,<1H OCEAN,290408.0
-121.96,37.74,25.0,15.0001,<1H OCEAN,434000.0
-117.77,34.08,2817.0,6.0434,INLAND,266352.0
-118.09,34.15,688.0,4.3452,INLAND,322524.0
-119.71,36.88,992.0,6.9405,INLAND,204848.0
