longitude,latitude,population_range,ocean_proximity,land_value
-118.39,34.12,2000-4000,<1H OCEAN,516442.87436000013
-120.42,34.89,0-2000,<1H OCEAN,224810.96076190475
-118.45,34.25,0-2000,<1H OCEAN,246067.212
-118.1,33.91,0-2000,<1H OCEAN,209761.70863492068
-117.07,32.77,0-2000,NEAR OCEAN,220601.20111111112
-118.04,33.93,0-2000,<1H OCEAN,192321.7237142857
-122.27,37.83,0-2000,NEAR BAY,131055.73728571432
-122.26,37.46,0-2000,NEAR OCEAN,551838.9112000001
-122.03,37.36,0-2000,<1H OCEAN,401956.9755352381
-117.61,33.43,0-2000,NEAR OCEAN,288694.47795238096
-118.32,34.06,0-2000,<1H OCEAN,578125.674683809
-121.23,37.96,0-2000,INLAND,75323.42800000001
-121.2,37.81,0-2000,INLAND,192298.24933333334
-121.91,37.24,2000-4000,<1H OCEAN,339023.44
-118.48,34.28,0-2000,<1H OCEAN,280887.30066666665
-117.65,34.1,0-2000,INLAND,159839.69047619053
-121.59,39.82,0-2000,INLAND,129035.64
-118.97,35.41,0-2000,INLAND,102216.50666666668
-118.06,33.88,2000-4000,<1H OCEAN,350527.33333333326
-118.39,33.85,0-2000,<1H OCEAN,448624.87
-117.98,33.73,2000-4000,<1H OCEAN,348527.62666666665
-118.32,33.79,0-2000,<1H OCEAN,362365.2826666666
-120.27,34.72,0-2000,<1H OCEAN,360199.04399999994
-119.65,36.33,0-2000,INLAND,69060.43599999999
-119.86,36.82,0-2000,INLAND,133914.59714285715
-119.23,35.78,0-2000,INLAND,83262.28
-118.35,34.16,0-2000,<1H OCEAN,350325.5853333333
-120.94,37.68,6000-8000,INLAND,241480.08
-118.99,35.24,0-2000,INLAND,136049.824
-121.11,37.47,0-2000,INLAND,130972.52
-118.02,34.08,2000-4000,INLAND,202641.46133333334
-120.17,39.33,0-2000,INLAND,151883.88
-118.35,34.02,2000-4000,<1H OCEAN,143110.34266666666
-123.34,39.5,0-2000,INLAND,102152.41519999999
-122.24,40.18,0-2000,INLAND,86901.18400000001
-122.03,37.36,0-2000,<1H OCEAN,401956.9755352381
-117.09,32.58,0-2000,NEAR OCEAN,165212.69609523815
-118.33,34.18,0-2000,<1H OCEAN,282430.67995238095
-121.44,38.53,0-2000,INLAND,97545.36466666666
-119.7,34.43,0-2000,<1H OCEAN,411846.13933333335
-117.15,34.22,0-2000,INLAND,172694.8
-118.37,33.87,0-2000,<1H OCEAN,394399.64195238106
-118.01,33.85,2000-4000,<1H OCEAN,253521.45133333333
-122.32,37.94,0-2000,NEAR BAY,231773.4751428571
-117.96,33.94,0-2000,<1H OCEAN,287794.5140000001
-117.96,34.14,0-2000,INLAND,203810.93633333332
-117.55,34.0,0-2000,INLAND,295532.92
-122.28,37.86,0-2000,NEAR BAY,203507.53119191917
-117.43,34.07,0-2000,INLAND,141646.44
-117.21,33.34,2000-4000,<1H OCEAN,345123.0
-120.68,37.47,0-2000,INLAND,145351.97333333333
-122.83,38.96,0-2000,INLAND,104461.32
-122.22,37.37,0-2000,NEAR OCEAN,617751.8552000006
-116.87,32.75,0-2000,<1H OCEAN,313080.16
-118.39,33.79,0-2000,NEAR OCEAN,614575.8060000003
-117.13,32.74,0-2000,NEAR OCEAN,238602.75447619046
-122.45,37.74,2000-4000,NEAR BAY,465448.73740000004
-122.47,38.29,0-2000,NEAR BAY,282616.584
-122.54,37.95,0-2000,NEAR BAY,532048.6021333333
-123.1,38.79,0-2000,<1H OCEAN,198731.08
-117.07,32.56,2000-4000,NEAR OCEAN,151090.156
-118.43,34.08,0-2000,<1H OCEAN,620001.2400000006
-122.05,36.97,0-2000,NEAR OCEAN,318278.5736190477
-122.25,37.49,0-2000,NEAR OCEAN,499609.55630000005
-117.87,34.14,0-2000,INLAND,339097.84
-118.2,34.05,2000-4000,<1H OCEAN,172450.3753333333
-121.32,37.94,0-2000,INLAND,73817.2
-120.96,38.66,0-2000,INLAND,219770.16
-120.43,34.96,0-2000,<1H OCEAN,166875.78999999998
-122.28,37.9,0-2000,NEAR BAY,411965.38698412693
-122.0,37.08,2000-4000,NEAR OCEAN,394735.4
-118.34,33.87,0-2000,<1H OCEAN,348865.02180952387
-118.52,34.21,0-2000,<1H OCEAN,258833.88
-118.22,34.09,0-2000,<1H OCEAN,194732.87714285718
-118.27,34.1,0-2000,<1H OCEAN,365918.3845714285
-117.58,34.02,2000-4000,INLAND,230483.76
-118.22,34.08,0-2000,<1H OCEAN,186890.9518095238
-121.78,36.93,2000-4000,<1H OCEAN,238842.60000000003
-117.36,33.18,0-2000,NEAR OCEAN,278779.156
-119.01,35.36,0-2000,INLAND,69805.78523809524
-117.81,34.11,0-2000,INLAND,246345.84
-118.1,34.02,0-2000,<1H OCEAN,251987.53
-117.03,32.96,0-2000,<1H OCEAN,251734.88
-122.23,39.75,0-2000,INLAND,100289.9476
-121.96,37.1,0-2000,<1H OCEAN,487842.06480000005
-121.06,39.04,0-2000,INLAND,242054.2
-118.1,34.09,0-2000,<1H OCEAN,290688.178
-118.32,33.95,0-2000,<1H OCEAN,223077.54999999996
-122.21,37.44,0-2000,NEAR OCEAN,620001.2400000006
-118.19,34.1,0-2000,<1H OCEAN,200826.95457142856
-122.38,40.09,0-2000,INLAND,77872.24799999999
-117.3,33.06,0-2000,NEAR OCEAN,365555.72
-122.13,37.71,0-2000,NEAR BAY,241210.64866666668
-118.29,33.98,0-2000,<1H OCEAN,134438.70823809528
-121.53,39.52,0-2000,INLAND,99517.44
-120.47,34.65,0-2000,NEAR OCEAN,160140.93961904763
-118.3,34.0,0-2000,<1H OCEAN,148545.01010389614
-118.22,33.8,0-2000,NEAR OCEAN,189952.81
-118.27,33.97,2000-4000,<1H OCEAN,118321.93666666668
-118.34,34.06,0-2000,<1H OCEAN,533925.4683328568
-119.21,34.18,2000-4000,NEAR OCEAN,292357.16426666663
-117.83,33.81,2000-4000,<1H OCEAN,306768.25
-118.85,34.18,2000-4000,<1H OCEAN,328631.0124
-118.37,36.19,0-2000,INLAND,127538.96
-121.85,37.39,4000-6000,<1H OCEAN,302240.22171428567
-118.37,33.85,2000-4000,<1H OCEAN,449836.2466666667
-118.96,35.37,0-2000,INLAND,66381.73485714284
-120.64,35.65,2000-4000,<1H OCEAN,185344.04
-118.41,34.19,0-2000,<1H OCEAN,284382.12257142854
-122.53,37.95,2000-4000,NEAR BAY,448781.792
-117.33,34.15,0-2000,INLAND,124317.10933333334
-117.23,33.57,4000-6000,<1H OCEAN,284886.342
-120.44,37.28,0-2000,INLAND,112046.71
-117.2,33.7,0-2000,<1H OCEAN,110749.87666666668
-121.34,38.64,0-2000,INLAND,177633.72
-117.28,34.12,2000-4000,INLAND,94799.26066666667
-119.48,36.5,0-2000,INLAND,110156.64
-122.04,37.04,0-2000,NEAR OCEAN,276989.87733333337
-118.45,34.03,0-2000,<1H OCEAN,391093.4122380953
-117.47,33.92,2000-4000,INLAND,158875.97133333335
-121.94,37.75,2000-4000,<1H OCEAN,344157.04
-117.28,34.51,2000-4000,INLAND,157567.31666666665
-120.95,35.44,0-2000,NEAR OCEAN,338420.8
-117.9,33.97,4000-6000,<1H OCEAN,394849.7486666665
-120.77,38.38,0-2000,INLAND,170371.04
-116.93,32.8,0-2000,<1H OCEAN,181811.22095238097
-118.13,33.81,0-2000,<1H OCEAN,286475.29276190477
-117.4,33.95,0-2000,INLAND,146613.2083333333
-122.07,37.96,0-2000,NEAR BAY,243280.932
-123.71,39.88,0-2000,NEAR OCEAN,165823.96
-122.72,38.58,2000-4000,<1H OCEAN,320174.2
-117.77,33.72,0-2000,<1H OCEAN,372063.5348444445
-117.93,34.07,0-2000,<1H OCEAN,232879.19200000007
-118.41,34.07,0-2000,<1H OCEAN,619011.6890000005
-120.07,36.97,0-2000,INLAND,78996.76266666666
-119.27,36.05,0-2000,INLAND,62912.64
-120.82,37.05,0-2000,INLAND,181176.4
-121.43,38.54,0-2000,INLAND,118134.86200000001
-120.44,34.96,0-2000,<1H OCEAN,135337.00704761903
-120.35,37.95,0-2000,INLAND,188280.36
-118.17,33.95,0-2000,<1H OCEAN,204906.59000000003
-121.57,39.5,0-2000,INLAND,62090.10666666667
